content,published_at,likes,replies,relevance_score,relevance_score_confidence
it's not a conflict its a genocide,2025-09-15 19:52:09.110000+00:00,0,0,3,0.78
"Lured-in with promises of peace...
Was that Braveheart? Burned in the stone house, the entire peace envoy.
If not it sure was this one weird trick back in the day for ridding yourself of Indians that your doctor won't tell you.",2025-09-15 19:52:09.110000+00:00,0,0,3,0.67
with friends like these who needs enemies and i am not talking about isreal/usa and the arabs,2025-09-15 19:52:09.110000+00:00,0,0,2,0.43
Qatar mediates while funding terrorism lol,2025-09-15 19:52:09.110000+00:00,0,0,4,0.88
"Funny the obvious route for Israel above Syria and Iraq has been forgotten. It did air-to-air refueling over these areas for their attacks  on Iran, so what would have stoped them this time...?",2025-09-15 19:52:09.110000+00:00,0,0,5,0.92
"At war with all neighbors (sans US backed Jordan) and most of these orginizations they claim to fight were Expressly formed decades ago to counter the first round of these attacks.

Freedom fighters and civilians that just wanna live are all terrorists, depending on your side.",2025-09-15 19:52:09.110000+00:00,0,0,2,0.8
"@CaspianReport In your video ""How Israel plans to checkmate Iran"" You stated that Israel had its own fleet of refueling tankers.  Why do you here state that the tankers were most likely provided by US CentCom?  Why the Biased reporting?",2025-09-15 19:52:09.110000+00:00,0,0,5,0.88
"The ""messenger"" here is the biggest provider of funding for the terrorist group being negotiated with. The messenger is also the biggest provider of funding for the largest information warfare implement against Israel. The messenger is not a neutral body.",2025-09-15 19:52:09.110000+00:00,0,0,5,0.92
It seems that you forgot to mention the multibillion dollars fake news industry shovelled by Qatar in the western world attacking to Israel.,2025-09-15 19:52:09.110000+00:00,0,0,3,0.78
"Well written: the dumbest potion a rich country can move itself in instead of being self-sufficient ;) The so called ""old Friend"" is what it always was a ""betrayer"" and looking for turkey to save him ist like giving the Devil the a head-cutter!
One of those realy bad situation that the the sentence ""its good to be a king!"" does not apply!",2025-09-15 19:52:09.110000+00:00,0,0,4,0.68
Good documentary but no one knows what's going to happen..,2025-09-15 19:52:09.110000+00:00,0,0,3,0.86
My chips would be on 'everyone was in on it.',2025-09-15 19:52:09.110000+00:00,0,0,4,0.74
"It is good to see you back on track, Bro. Your channel started out well, but then you got off into the weeds by using terms like Nationalism as a perjorative. To be clear, globalism is the problem, and Nationalism is the right of the sovereign people to determine their National policies.",2025-09-15 19:52:09.110000+00:00,0,0,1,0.9
"Another justified and successful strike PM Netanyahu, keep it up.",2025-09-15 19:52:09.110000+00:00,0,0,4,0.92
Since when Hamas leaders are the fucking messengers.,2025-09-15 19:52:09.110000+00:00,0,0,4,0.74
Arabs are not warriors.,2025-09-15 19:52:09.110000+00:00,0,0,1,0.78
for the sake of giving israel a right to genocide everything is being thrown into the fire,2025-09-15 19:52:09.110000+00:00,0,0,3,0.67
"The world is witnessing what US security guarantees are worth. Russia attacks NATO member Poland, nothing. Russia attacked Ukraine after Ukraine gave up nukes for security guarantees, nothing. America uses security guarantees to extort one-sided trade deals with allies and only gives excuses when it's time to deliver their end of the bargon.",2025-09-15 19:52:09.110000+00:00,0,0,4,0.82
America is a puppet to the highest bidder for the next 4 years.,2025-09-15 19:52:09.110000+00:00,2,0,2,0.78
Shouldn’t have allowed terrorists have safe haven.,2025-09-15 19:52:11.690000+00:00,0,0,5,0.93
"The transponders of military aircraft are not bound to normal regulatory oversight. Knowing full well that technical incompatibility creates plausible deniability, transponders can be switched. Unless specific political support is needed in order to carry out a large scale long term mission where Governments want WPA (War Powers Act) such as a drawn out war,  the military operates above the law. Period. Once they have WPA the rules go out the window. WPA = Lobby and lie. No WPA = deny.",2025-09-15 19:52:11.690000+00:00,0,0,3,0.68
No terrorist is safe.  That is good.  Not one will remain alive.  That is the ONLY solution to the mind virus of terrorism.,2025-09-15 19:52:11.690000+00:00,0,0,3,0.86
